Job Title,Company,Salary,Experience,Day Posted,Skills List,Location List
Cyber Security Analyst,Wipro,5.0,3,2022-01,Network Security,Hyderabad
Cyber Security Analyst,Wipro,5.0,3,2022-01,security operations,Hyderabad
Cyber Security Analyst,Wipro,5.0,3,2022-01,security assessment,Hyderabad
Cyber Security Analyst,Wipro,5.0,3,2022-01,information security,Hyderabad
Cyber Security Analyst,Wipro,5.0,3,2022-01,security monitoring,Hyderabad
Cyber Security Analyst,Wipro,5.0,3,2022-01,disaster recovery,Hyderabad
Cyber Security Analyst,Wipro,5.0,3,2022-01,siem,Hyderabad
Cyber Security Analyst,Wipro,5.0,3,2022-01,vulnerability assessment,Hyderabad
Cyber Security Analyst,Wipro,6.0,4,2022-01,Network Security,Pune
Cyber Security Analyst,Wipro,6.0,4,2022-01,security operations,Pune
Cyber Security Analyst,Wipro,6.0,4,2022-01,security monitoring,Pune
Cyber Security Analyst,Wipro,6.0,4,2022-01,root cause analysis,Pune
Cyber Security Analyst,Wipro,6.0,4,2022-01,risk analysis,Pune
Cyber Security Analyst,Wipro,6.0,4,2022-01,Cloud Security,Pune
Cyber Security Analyst,Wipro,6.0,4,2022-01,Monitoring,Pune
Cyber Security Analyst,Wipro,6.0,4,2022-01,Risk Analysis,Pune
Cyber Security Analyst,Innspark Solutions,25001.5,1,2022-01,SIEM,Mohali
Cyber Security Analyst,Innspark Solutions,25001.5,1,2022-01,Devops,Mohali
Cyber Security Analyst,Innspark Solutions,25001.5,1,2022-01,Edr,Mohali
Cyber Security Analyst,Innspark Solutions,25001.5,1,2022-01,Windows OS,Mohali
Cyber Security Analyst,Innspark Solutions,25001.5,1,2022-01,Linux,Mohali
Cyber Security Analyst,Innspark Solutions,25001.5,1,2022-01,Networking,Mohali
Cyber Security Analyst,Innspark Solutions,25001.5,1,2022-01,Deployment,Mohali
Cyber Security Analyst,Innspark Solutions,25001.5,1,2022-01,Soar,Mohali
Cyber Security Analyst,Wipro,6.0,4,2022-01,Network Security,Kochi
Cyber Security Analyst,Wipro,6.0,4,2022-01,security operations,Kochi
Cyber Security Analyst,Wipro,6.0,4,2022-01,security assessment,Kochi
Cyber Security Analyst,Wipro,6.0,4,2022-01,Network Security,Kochi
Cyber Security Analyst,Wipro,6.0,4,2022-01,owasp,Kochi
Cyber Security Analyst,Wipro,6.0,4,2022-01,soc,Kochi
Cyber Security Analyst,Wipro,6.0,4,2022-01,information security,Kochi
Cyber Security Analyst,Wipro,6.0,4,2022-01,siem,Kochi
Cyber Security Analyst,Stock Broking ,60.0,19,2022-01,Ethical Hacking,Mumbai
Cyber Security Analyst,Stock Broking ,60.0,19,2022-01,Security Governance,Mumbai
Cyber Security Analyst,Stock Broking ,60.0,19,2022-01,Information Security Strategy,Mumbai
Cyber Security Analyst,Stock Broking ,60.0,19,2022-01,Security Operations,Mumbai
Cyber Security Analyst,Stock Broking ,60.0,19,2022-01,IT Security,Mumbai
Cyber Security Analyst,Stock Broking ,60.0,19,2022-01,Capital Markets,Mumbai
Cyber Security Analyst,Stock Broking ,60.0,19,2022-01,Compliance and Regulatory,Mumbai
Cyber Security Analyst,Stock Broking ,60.0,19,2022-01,ISMS implementation,Mumbai
Cyber Security Analyst,Yokogawa,5.0,2,2022-01,Network Security,Bengaluru
Cyber Security Analyst,Yokogawa,5.0,2,2022-01,IEC,Bengaluru
Cyber Security Analyst,Yokogawa,5.0,2,2022-01,OT Security,Bengaluru
Cyber Security Analyst,Yokogawa,5.0,2,2022-01,GICSP,Bengaluru
Cyber Security Analyst,Yokogawa,5.0,2,2022-01,CEH,Bengaluru
Cyber Security Analyst,Yokogawa,5.0,2,2022-01,IEC62443,Bengaluru
Cyber Security Analyst,Yokogawa,5.0,2,2022-01,OT,Bengaluru
