Link,Job Title,Company,Salary,Location,Experience,Skills,Day Posted
https://www.naukri.com/job-listings-cyber-security-analyst-contract-wipro-limited-hyderabad-2-to-4-years-100225918349,Cyber Security Analyst ( Contract ),Wipro,Not disclosed,Hyderabad,2-4 Yrs,"Cyber Security, security operations, security assessment, information security, security monitoring, disaster recovery, siem, vulnerability assessment",2022-01
https://www.naukri.com/job-listings-cyber-security-analyst-wipro-limited-pune-2-to-6-years-170225905549,Cyber Security Analyst,Wipro,Not disclosed,Pune,2-6 Yrs,"Cyber Security, security operations, security monitoring, root cause analysis, risk analysis, Cyber, Monitoring, Analysis",2022-01
https://www.naukri.com/job-listings-devops-engineer-cyber-security-innspark-solutions-mohali-0-to-2-years-140225009248,DevOps Engineer - Cyber Security,Innspark Solutions,"50,000-3 Lacs PA",Mohali,0-2 Yrs,"SIEM, Devops, Edr, Windows OS, Linux, Networking, Deployment, Soar",2022-01
https://www.naukri.com/job-listings-cyber-security-analyst-l4-wipro-limited-kochi-2-to-6-years-100225918633,Cyber Security Analyst - L4,Wipro,Not disclosed,Kochi,2-6 Yrs,"Cyber Security, security operations, security assessment, network security, owasp, soc, information security, siem",2022-01
https://www.naukri.com/job-listings-head-cyber-security-strategic-strides-mumbai-all-areas-15-to-23-years-060125013537,Head Cyber Security,Stock Broking ,50-70 Lacs PA,Mumbai (All Areas),15-23 Yrs,"cyber security, Security Governance, Information Security Strategy, Security Operations, IT Security, Capital Markets, Compliance and Regulatory, ISMS implementation",2022-01
https://www.naukri.com/job-listings-ot-cyber-security-engineer-yokogawa-bengaluru-1-to-4-years-180225005379,OT Cyber Security Engineer,Yokogawa,Not disclosed,Bengaluru,1-4 Yrs,"Cyber Security, IEC, OT Security, GICSP, CEH, IEC62443, OT, Cyber",2022-01
https://www.naukri.com/job-listings-principal-engineer-ict-and-cyber-security-johnson-controls-pune-bengaluru-15-to-20-years-180225011080,Principal Engineer (ICT and Cyber Security),Johnson Controls,20-30 Lacs PA,"Pune, Bengaluru",15-20 Yrs,"Cyber Security, ICT, Security Systems, Estimation, Presales, Cyber, Security, Security Solutions",2022-01
https://www.naukri.com/job-listings-cyber-security-senior-analyst-imperva-e-solutions-it-services-pvt-ltd-karnataka-2-to-5-years-140225922309,Cyber Security Senior Analyst  Imperva,Leading Client,Not disclosed,Karnataka,2-5 Yrs,"Cyber Security, cli, oracle, network security, soc, information security, microsoft azure, networking",2022-01
https://www.naukri.com/job-listings-cyber-security-engineer-psa-india-mumbai-suburban-navi-mumbai-mumbai-all-areas-2-to-4-years-170225001045,Cyber Security Engineer,PSA India,Not disclosed,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",2-4 Yrs,"Cyber Security, ISO27001/2, Information Security, SIEM, Vulnerability Management, ISO, Cyber, Management",2022-01
https://www.naukri.com/job-listings-cyber-security-analyst-cn-solutions-hyderabad-2-to-4-years-120225913782,Cyber security analyst,CN Solutions,Not disclosed,Hyderabad,2-4 Yrs,"cc, cyber security, palo alto firewall, linux, sdlc, it security, isms, soc",2022-01
https://www.naukri.com/job-listings-cyber-security-archt-engr-i-honeywell-bengaluru-3-to-7-years-070225506668,Cyber Security Archt/Engr I,Honeywell,Not disclosed,Bengaluru,3-7 Yrs,"Computer science, Process automation, Cism, Cisa, Security management, cyber security, data security, Information security",2022-01
https://www.naukri.com/job-listings-cyber-security-analyst-wipro-limited-bengaluru-3-to-8-years-110225915025,Cyber Security Analyst,Wipro,Not disclosed,Bengaluru,3-8 Yrs,"Cyber Security, Security Audits, Security  Compliance, Security Incident Handling, Cybersecurity Monitoring, L2 Support, Incident, L2",2022-01
https://www.naukri.com/job-listings-product-security-ir-analyst-cyber-security-programs-magna-steyr-bengaluru-6-to-10-years-120225501993,"Product Security IR Analyst, Cyber Security Programs",Magna International,Not disclosed,Bengaluru,6-10 Yrs,"remediation, risk compliance, Product engineering, ISO, Senior Analyst, Information security, data privacy, Vulnerability management",2022-01
https://www.naukri.com/job-listings-cyber-security-analyst-l4-wipro-limited-ahmedabad-4-to-6-years-100225918345,Cyber Security Analyst - L4,Wipro,Not disclosed,Ahmedabad,4-6 Yrs,"Cyber Security, security operations, security assessment, information security, siem, vulnerability assessment, Security monitoring, Security",2022-01
https://www.naukri.com/job-listings-cyber-security-analyst-intas-ahmedabad-5-to-8-years-110225008060,Cyber Security Analyst,Intas,Not disclosed,Ahmedabad,5-8 Yrs,"Cloud Security, SIEM, EDR/XDR, SOAR, cyber resilience, Email Security, Perimeter Security, Data Security",2022-01
https://www.naukri.com/job-listings-cyber-security-analyst-sea-and-beyond-mumbai-4-to-8-years-130225501616,Cyber Security Analyst,Sea And Beyond,Not disclosed,Mumbai,4-8 Yrs,"Computer science, cyber security analyst, cyber security, Information security, Security, Computer, Cyber, Science",2022-01
https://www.naukri.com/job-listings-cyber-security-analyst-l3-wipro-limited-gurugram-5-to-9-years-150225907693,Cyber Security Analyst - L3,Wipro,Not disclosed,Gurugram,5-9 Yrs,"Cyber Security, security operations, security assessment, network security, owasp, soc, information security, siem",2022-01
https://www.naukri.com/job-listings-senior-cyber-security-analyst-intas-ahmedabad-8-to-12-years-110225006710,Senior Cyber Security Analyst,Intas,Not disclosed,Ahmedabad,8-12 Yrs,"Cloud Security, SIEM, EDR/XDR, SOAR, cyber resilience, Email Security, Cyber Security, Perimeter Security",2022-01
https://www.naukri.com/job-listings-cyber-security-project-manager-allegis-group-hyderabad-6-to-11-years-170225009438,Cyber Security Project Manager,TEKsystems,Not disclosed,Hybrid - Hyderabad,6-11 Yrs,"Cloud Security, Cyber Security, Project Management, Project, Cloud, Security management, Cyber, Management",2022-01
https://www.naukri.com/job-listings-cyber-security-architect-locuz-hyderabad-bengaluru-3-to-8-years-170225017120,Cyber Security Architect,Locuz,Not disclosed,"Hyderabad, Bengaluru",3-8 Yrs,"Cyber Security, Presales Consulting, SOW, Cloud Security, POC, Dlp, Presales, Endpoint Security",2022-01
https://www.naukri.com/job-listings-cyber-security-engineer-vapt-common-service-centres-csc-new-delhi-2-to-4-years-170225005918,Cyber Security Engineer (VAPT),Common Service Centres (CSC),5-5.5 Lacs PA,New Delhi(Okhla Phase 3),2-4 Yrs,"Vapt, Burp Suite, Cyber Security, Oscp, Metasploit, Penetration Testing, Ceh, OWASP",2022-01
https://www.naukri.com/job-listings-cyber-security-specialist-carbon-black-chennai-location-creative-hands-hr-hyderabad-chennai-bengaluru-2-to-6-years-170225002220,"Cyber Security Specialist, Carbon Black, Chennai location",Top B2B MNC in BPO Domain,5-8 Lacs PA,"Hyderabad, Chennai, Bengaluru",2-6 Yrs,"Carbon Black, VMware, Cyber Security, Infrastructure management, Information security, SOC, Risk assessment, Security operations",2022-01
https://www.naukri.com/job-listings-global-cyber-security-analyst-lucy-electric-vadodara-1-to-4-years-130225504942,GLOBAL CYBER SECURITY ANALYST,Lucy Electric,Not disclosed,Vadodara,1-4 Yrs,"Project management, Active directory, Network security, Agile, Customer relationship, Antivirus, Windows, microsoft",2022-01
