Link,Job Title,Company,Salary,Location,Experience,Skills,Day Posted
https://www.naukri.com/job-listings-data-analyst-au-small-finance-bank-bengaluru-0-to-2-years-030225011186,Data Analyst,AU Small Finance Bank,4-6 Lacs PA,Bengaluru,0-2 Yrs,"Analytics, R Studio, Data Extraction, Advanced Excel, Risk Modeling, Python, Microsoft Office Suite, Rstudio",2022-01
https://www.naukri.com/job-listings-client-data-analyst-jpmorgan-chase-bengaluru-0-to-5-years-220125500517,Client Data Analyst,JPMorgan Chase Bank,Not disclosed,Bengaluru,0-5 Yrs,"Service delivery, Senior management, Product servicestatic data, MISFocus, Data Analyst, Management",2022-01
https://www.naukri.com/job-listings-data-analyst-easyship-amazon-india-software-dev-centre-pvt-ltd-bengaluru-0-to-7-years-220125503267,"Data Analyst, EasyShip",Amazon,Not disclosed,Bengaluru,0-7 Yrs,"Automation, Data analysis, IT Analyst, Analytical, Data analytics, Data Analyst, Subject Matter Expert, Operations",2022-01
https://www.naukri.com/job-listings-data-analyst-fcgt-local-shops-on-amazon-amazon-india-software-dev-centre-pvt-ltd-bengaluru-0-to-7-years-240125500265,"Data Analyst, FCGT, Local Shops on Amazon",Amazon,Not disclosed,Bengaluru,0-7 Yrs,"Automation, SASBusiness analysis, Operations planning, Analytical, SPSSData mining, Business intelligence",2022-01
https://www.naukri.com/job-listings-data-analyst-alexa-audio-amazon-india-software-dev-centre-pvt-ltd-chennai-0-to-7-years-220125503482,"Data Analyst, Alexa Audio",Amazon,Not disclosed,Chennai,0-7 Yrs,"Qualitative research, Usage, Web technologies, Standard operating procedures, Quality audit, Data Analyst, Auditing, Quantitative analysis",2022-01
https://www.naukri.com/job-listings-online-data-analysts-multiple-languages-telus-digital-ai-bengaluru-0-to-5-years-220125016376,Online Data Analysts (Multiple Languages),Telus Digital AI,Not disclosed,Remote,0-5 Yrs,"English, Oriya, Geography, Malayalam, Social Media, Urdu, Marathi, Odia",2022-01
https://www.naukri.com/job-listings-data-analyst-jobaaj-a-unit-of-nishtya-infotech-haryana-0-to-2-years-040225913467,Data Analyst,Jobaaj (a Unit Of Nishtya Infotech ),4-5 Lacs PA,Haryana,0-2 Yrs,"Data Analysis, Mar, Tech, Google Cloud Platform, NLP techniquestopic modeling, Data Analyticsentity recognition, Entity",2022-01
https://www.naukri.com/job-listings-data-analyst-night-shift-omega-healthcare-chennai-0-to-1-years-030225012812,Data Analyst (Night Shift),Omega Healthcare,1-3 Lacs PA,Chennai,0-1 Yrs,"Bioinformatics, Life Sciences, Biotechnology, Pharmacy, Data, Data analysis, Science",2022-01
https://www.naukri.com/job-listings-data-analyst-monitoring-evaluation-aditya-birla-education-trust-mumbai-all-areas-1-to-3-years-310125010669,Data Analyst - Monitoring & Evaluation,Aditya Birla Education Trust,5-7 Lacs PA,Mumbai (All Areas)(Worli),1-3 Yrs,"Data Analysis Tools, Data Analysis, Programming Languages, Data Analytics, Programming, Data, Tools, Analysis",2022-01
https://www.naukri.com/job-listings-data-analyst-ttainee-medtoureasy-india-0-to-2-years-250125906927,Data Analyst Ttainee,Medtoureasy,Not disclosed,India,0-2 Yrs,project managementdata analysisdata analyticsdata managementpresentation skillspythondata miningpredictive analytics,2022-01
https://www.naukri.com/job-listings-data-analyst-traainee-medtoureasy-india-0-to-2-years-250125905185,Data Analyst Traainee,Medtoureasy,Not disclosed,India,0-2 Yrs,project managementdata analysisdata analyticsdata managementpresentation skillspythondata miningpredictive analytics,2022-01
https://www.naukri.com/job-listings-data-analyst-with-hedis-and-inovalon-intone-networks-remote-0-to-3-years-040225500874,Data Analyst with HEDIS and INOVALON,Intone Networks,Not disclosed,Remote,0-3 Yrs,"Data modeling, Data Analyst, SQLHedis, Data analysis, Modeling, Data",2022-01
https://www.naukri.com/job-listings-data-analyst-klene-paks-bengaluru-3-to-8-years-040225005352,Data Analyst,Klene Paks,3.75-6 Lacs PA,Bengaluru(Bannerghatta Road),3-8 Yrs,"HLOOKUPPivot Table, VLOOKUPExcel Macros, Data Research, Excel Dashboards, Data Management, Formulas",2022-01
https://www.naukri.com/job-listings-data-analyst-klene-paks-bengaluru-3-to-8-years-021224011691,Data Analyst,Klene Paks,3.75-6 Lacs PA,Bengaluru(Bannerghatta Road),3-8 Yrs,"HLOOKUPPivot Table, VLOOKUPExcel Macros, Data Research, Excel Dashboards, Data Management, Formulas",2022-01
https://www.naukri.com/job-listings-data-analyst-anz-banking-group-bengaluru-2-to-7-years-030225500882,Data Analyst,ANZ,Not disclosed,Bengaluru,2-7 Yrs,"Administrationdigital analyticsadobe analytics, Senior Analyst, Analytical, Debuggingdata integrity, Subject Matter Expert",2022-01
https://www.naukri.com/job-listings-data-analyst-dk-infoway-pune-bengaluru-delhi-ncr-2-to-7-years-040225005402,Data Analyst,Dk Infoway,3.75-5.5 Lacs PA,"Pune, Bengaluru, Delhi / NCR",2-7 Yrs,"Data Mining, Business Analysis, Data Science, Data Visualization, Data Analytics, Data Transformation, Statistical analysis, Data Extraction",2022-01
https://www.naukri.com/job-listings-data-analyst-juniper-networks-india-pvt-ltd-bengaluru-2-to-5-years-030225504388,Data Analyst,Juniper Networks,Not disclosed,Bengaluru,2-5 Yrs,"Procurement, Supply chain, Automation, Networking, Coding, Project management, Agile, Workflow",2022-01
https://www.naukri.com/job-listings-client-data-analyst-south-star-software-navi-mumbai-3-to-8-years-030225014653,Client Data Analyst,South Star Software,Not disclosed,Remote,3-8 Yrs,"Data Analysis, Data Analytics, Data Reporting, Reporting, Data, Analysis, Client, Analytics",2022-01
https://www.naukri.com/job-listings-data-analyst-manasa-mitr-management-consultancy-delhi-ncr-7-to-10-years-040225008796,Data Analyst,Manasa Mitr Management Consultancy,6-9 Lacs PA,Hybrid - Delhi / NCR,7-10 Yrs,"Data Analysis, Data Science, Data Transformation, Data Manipulation, Data Cleansing, Data Extraction, Data Mining, Data Crunching",2022-01
